os_major_version,feature_release_version,release_full_name,release_date,release_date_format,build_number,full_version,kb
Windows 10,22H2,Version 22H2 (OS build 19045),2025-10-14,October 2025,10.0.19045.6456,Windows 10 - Version 22H2 (OS build 19045),KB5066791
Windows 10,22H2,Version 22H2 (OS build 19045),2025-09-25,September 2025,10.0.19045.6396,Windows 10 - Version 22H2 (OS build 19045),KB5066198
Windows 10,22H2,Version 22H2 (OS build 19045),2025-09-09,September 2025,10.0.19045.6332,Windows 10 - Version 22H2 (OS build 19045),KB5065429
Windows 10,22H2,Version 22H2 (OS build 19045),2025-08-26,August 2025,10.0.19045.6282,Windows 10 - Version 22H2 (OS build 19045),KB5063842
Windows 10,22H2,Version 22H2 (OS build 19045),2025-08-19,August 2025,10.0.19045.6218,Windows 10 - Version 22H2 (OS build 19045),KB5066188
Windows 10,22H2,Version 22H2 (OS build 19045),2025-08-12,August 2025,10.0.19045.6216,Windows 10 - Version 22H2 (OS build 19045),KB5063709
Windows 10,22H2,Version 22H2 (OS build 19045),2025-07-22,July 2025,10.0.19045.6159,Windows 10 - Version 22H2 (OS build 19045),KB5062649
Windows 10,22H2,Version 22H2 (OS build 19045),2025-07-08,July 2025,10.0.19045.6093,Windows 10 - Version 22H2 (OS build 19045),KB5062554
Windows 10,22H2,Version 22H2 (OS build 19045),2025-06-24,June 2025,10.0.19045.6036,Windows 10 - Version 22H2 (OS build 19045),KB5061087
Windows 10,22H2,Version 22H2 (OS build 19045),2025-06-16,June 2025,10.0.19045.5968,Windows 10 - Version 22H2 (OS build 19045),KB5063159
Windows 10,22H2,Version 22H2 (OS build 19045),2025-06-10,June 2025,10.0.19045.5965,Windows 10 - Version 22H2 (OS build 19045),KB5060533
Windows 10,22H2,Version 22H2 (OS build 19045),2025-05-28,May 2025,10.0.19045.5917,Windows 10 - Version 22H2 (OS build 19045),KB5058481
Windows 10,22H2,Version 22H2 (OS build 19045),2025-05-27,May 2025,10.0.19045.5859,Windows 10 - Version 22H2 (OS build 19045),KB5061979
Windows 10,22H2,Version 22H2 (OS build 19045),2025-05-19,May 2025,10.0.19045.5856,Windows 10 - Version 22H2 (OS build 19045),KB5061768
Windows 10,22H2,Version 22H2 (OS build 19045),2025-05-13,May 2025,10.0.19045.5854,Windows 10 - Version 22H2 (OS build 19045),KB5058379
Windows 10,22H2,Version 22H2 (OS build 19045),2025-04-22,April 2025,10.0.19045.5796,Windows 10 - Version 22H2 (OS build 19045),KB5055612
Windows 10,22H2,Version 22H2 (OS build 19045),2025-04-08,April 2025,10.0.19045.5737,Windows 10 - Version 22H2 (OS build 19045),KB5055518
Windows 10,22H2,Version 22H2 (OS build 19045),2025-03-25,March 2025,10.0.19045.5679,Windows 10 - Version 22H2 (OS build 19045),KB5053643
Windows 10,22H2,Version 22H2 (OS build 19045),2025-03-11,March 2025,10.0.19045.5608,Windows 10 - Version 22H2 (OS build 19045),KB5053606
Windows 10,22H2,Version 22H2 (OS build 19045),2025-02-25,February 2025,10.0.19045.5555,Windows 10 - Version 22H2 (OS build 19045),KB5052077
Windows 10,22H2,Version 22H2 (OS build 19045),2025-02-11,February 2025,10.0.19045.5487,Windows 10 - Version 22H2 (OS build 19045),KB5051974
Windows 10,22H2,Version 22H2 (OS build 19045),2025-01-28,January 2025,10.0.19045.5440,Windows 10 - Version 22H2 (OS build 19045),KB5050081
Windows 10,22H2,Version 22H2 (OS build 19045),2025-01-14,January 2025,10.0.19045.5371,Windows 10 - Version 22H2 (OS build 19045),KB5049981
Windows 10,22H2,Version 22H2 (OS build 19045),2024-12-10,December 2024,10.0.19045.5247,Windows 10 - Version 22H2 (OS build 19045),KB5048652
Windows 10,22H2,Version 22H2 (OS build 19045),2024-11-21,November 2024,10.0.19045.5198,Windows 10 - Version 22H2 (OS build 19045),KB5046714
Windows 10,22H2,Version 22H2 (OS build 19045),2024-11-12,November 2024,10.0.19045.5131,Windows 10 - Version 22H2 (OS build 19045),KB5046613
Windows 10,22H2,Version 22H2 (OS build 19045),2024-10-22,October 2024,10.0.19045.5073,Windows 10 - Version 22H2 (OS build 19045),KB5045594
Windows 10,22H2,Version 22H2 (OS build 19045),2024-10-08,October 2024,10.0.19045.5011,Windows 10 - Version 22H2 (OS build 19045),KB5044273
Windows 10,22H2,Version 22H2 (OS build 19045),2024-09-24,September 2024,10.0.19045.4957,Windows 10 - Version 22H2 (OS build 19045),KB5043131
Windows 10,22H2,Version 22H2 (OS build 19045),2024-09-10,September 2024,10.0.19045.4894,Windows 10 - Version 22H2 (OS build 19045),KB5043064
Windows 10,22H2,Version 22H2 (OS build 19045),2024-08-29,August 2024,10.0.19045.4842,Windows 10 - Version 22H2 (OS build 19045),KB5041582
Windows 10,22H2,Version 22H2 (OS build 19045),2024-08-13,August 2024,10.0.19045.4780,Windows 10 - Version 22H2 (OS build 19045),KB5041580
Windows 10,22H2,Version 22H2 (OS build 19045),2024-07-23,July 2024,10.0.19045.4717,Windows 10 - Version 22H2 (OS build 19045),KB5040525
