os_major_version,feature_release_version,release_full_name,release_date,release_date_format,build_number,kb,full_version
Windows 11,24H2,Version 24H2 (OS build 26100),2025-08-12,August 2025,10.0.26100.4946,KB5063878,Windows 11 - Version 24H2 (OS build 26100)
Windows 11,24H2,Version 24H2 (OS build 26100),2025-07-22,July 2025,10.0.26100.4770,KB5062660,Windows 11 - Version 24H2 (OS build 26100)
Windows 11,24H2,Version 24H2 (OS build 26100),2025-07-13,July 2025,10.0.26100.4656,KB5064489,Windows 11 - Version 24H2 (OS build 26100)
Windows 11,24H2,Version 24H2 (OS build 26100),2025-07-08,July 2025,10.0.26100.4652,KB5062553,Windows 11 - Version 24H2 (OS build 26100)
Windows 11,24H2,Version 24H2 (OS build 26100),2025-06-26,June 2025,10.0.26100.4484,KB5060829,Windows 11 - Version 24H2 (OS build 26100)
Windows 11,24H2,Version 24H2 (OS build 26100),2025-06-11,June 2025,10.0.26100.4351,KB5063060,Windows 11 - Version 24H2 (OS build 26100)
Windows 11,24H2,Version 24H2 (OS build 26100),2025-06-10,June 2025,10.0.26100.4349,KB5060842,Windows 11 - Version 24H2 (OS build 26100)
Windows 11,24H2,Version 24H2 (OS build 26100),2025-05-28,May 2025,10.0.26100.4202,KB5058499,Windows 11 - Version 24H2 (OS build 26100)
Windows 11,24H2,Version 24H2 (OS build 26100),2025-05-27,May 2025,10.0.26100.4066,KB5061977,Windows 11 - Version 24H2 (OS build 26100)
Windows 11,24H2,Version 24H2 (OS build 26100),2025-05-13,May 2025,10.0.26100.4061,KB5058411,Windows 11 - Version 24H2 (OS build 26100)
Windows 11,24H2,Version 24H2 (OS build 26100),2025-04-25,April 2025,10.0.26100.3915,KB5055627,Windows 11 - Version 24H2 (OS build 26100)
Windows 11,24H2,Version 24H2 (OS build 26100),2025-04-08,April 2025,10.0.26100.3775,KB5055523,Windows 11 - Version 24H2 (OS build 26100)
Windows 11,24H2,Version 24H2 (OS build 26100),2025-03-27,March 2025,10.0.26100.3624,KB5053656,Windows 11 - Version 24H2 (OS build 26100)
Windows 11,24H2,Version 24H2 (OS build 26100),2025-03-11,March 2025,10.0.26100.3476,KB5053598,Windows 11 - Version 24H2 (OS build 26100)
Windows 11,24H2,Version 24H2 (OS build 26100),2025-02-25,February 2025,10.0.26100.3323,KB5052093,Windows 11 - Version 24H2 (OS build 26100)
Windows 11,24H2,Version 24H2 (OS build 26100),2025-02-11,February 2025,10.0.26100.3194,KB5051987,Windows 11 - Version 24H2 (OS build 26100)
Windows 11,24H2,Version 24H2 (OS build 26100),2025-01-28,January 2025,10.0.26100.3037,KB5050094,Windows 11 - Version 24H2 (OS build 26100)
Windows 11,24H2,Version 24H2 (OS build 26100),2025-01-14,January 2025,10.0.26100.2894,KB5050009,Windows 11 - Version 24H2 (OS build 26100)
Windows 11,24H2,Version 24H2 (OS build 26100),2024-12-10,December 2024,10.0.26100.2605,KB5048667,Windows 11 - Version 24H2 (OS build 26100)
Windows 11,24H2,Version 24H2 (OS build 26100),2024-11-21,November 2024,10.0.26100.2454,KB5046740,Windows 11 - Version 24H2 (OS build 26100)
Windows 11,24H2,Version 24H2 (OS build 26100),2024-11-12,November 2024,10.0.26100.2314,KB5046617,Windows 11 - Version 24H2 (OS build 26100)
Windows 11,24H2,Version 24H2 (OS build 26100),2024-10-24,October 2024,10.0.26100.2161,KB5044384,Windows 11 - Version 24H2 (OS build 26100)
Windows 11,24H2,Version 24H2 (OS build 26100),2024-10-08,October 2024,10.0.26100.2033,KB5044284,Windows 11 - Version 24H2 (OS build 26100)
Windows 11,24H2,Version 24H2 (OS build 26100),2024-10-01,October 2024,10.0.26100.1742,,Windows 11 - Version 24H2 (OS build 26100)
Windows 11,23H2,Version 23H2 (OS build 22631),2025-08-19,August 2025,10.0.22631.5771,KB5066189,Windows 11 - Version 23H2 (OS build 22631)
Windows 11,23H2,Version 23H2 (OS build 22631),2025-08-12,August 2025,10.0.22631.5768,KB5063875,Windows 11 - Version 23H2 (OS build 22631)
Windows 11,23H2,Version 23H2 (OS build 22631),2025-07-22,July 2025,10.0.22631.5699,KB5062663,Windows 11 - Version 23H2 (OS build 22631)
Windows 11,23H2,Version 23H2 (OS build 22631),2025-07-08,July 2025,10.0.22631.5624,KB5062552,Windows 11 - Version 23H2 (OS build 22631)
Windows 11,23H2,Version 23H2 (OS build 22631),2025-06-26,June 2025,10.0.22631.5549,KB5060826,Windows 11 - Version 23H2 (OS build 22631)
